algorithm,beta,condition,cvar_0.95
PPO,0,no_rain,0.08820796441088297
PPO,0,slight_rain,0.03257787194182148
PPO,0,heavy_rain,0.017791465438734708
PPO,0,town02,0.06511990240221772
PPO,0,town03,-0.005088888943479999
PPO,5,no_rain,0.22634314215467197
PPO,5,slight_rain,0.1260118790483873
PPO,5,heavy_rain,0.12197003344308642
PPO,5,town02,0.09444588197115916
PPO,5,town03,0.1644676586812487
PPO,10,no_rain,0.25335386987999997
PPO,10,slight_rain,0.13646533156636098
PPO,10,heavy_rain,0.1256192950206935
PPO,10,town02,0.12319237014483188
PPO,10,town03,0.15909866158503783
SAC,0,no_rain,0.05414853802557967
SAC,0,slight_rain,0.01317392847226166
SAC,0,heavy_rain,0.005180074669586461
SAC,0,town02,0.06511990240221772
SAC,0,town03,-0.17520469893629603
SAC,5,no_rain,0.1562081420232736
SAC,5,slight_rain,0.11217676693783034
SAC,5,heavy_rain,0.11962431154563413
SAC,5,town02,0.06040510667628319
SAC,5,town03,0.14797376425132808
SAC,10,no_rain,0.1679042431203171
SAC,10,slight_rain,0.11953073409061256
SAC,10,heavy_rain,0.12310388197181502
SAC,10,town02,0.06974886317672994
SAC,10,town03,0.07721795925730801
