algorithm,beta,condition,mean_reward
PPO,0,no_rain,2.2207350452057346
PPO,0,slight_rain,1.0337788415477267
PPO,0,heavy_rain,0.7458937480306247
PPO,0,town02,0.425785494602207
PPO,0,town03,1.4856694294876858
PPO,5,no_rain,4.097637665629461
PPO,5,slight_rain,1.4915880010815952
PPO,5,heavy_rain,1.0494016256278045
PPO,5,town02,0.6092286621968258
PPO,5,town03,1.6965312958885126
PPO,10,no_rain,4.213117121022
PPO,10,slight_rain,1.9044401434822913
PPO,10,heavy_rain,0.9389534240193277
PPO,10,town02,0.7474018176021657
PPO,10,town03,2.2580160702981247
SAC,0,no_rain,0.6654450315389561
SAC,0,slight_rain,0.34844938012144494
SAC,0,heavy_rain,0.33361292905540324
SAC,0,town02,0.41733869960643133
SAC,0,town03,0.5086477441141809
SAC,5,no_rain,1.4443659059211782
SAC,5,slight_rain,0.504540104436864
SAC,5,heavy_rain,0.48103498942029965
SAC,5,town02,0.439314353381565
SAC,5,town03,0.6009085295223637
SAC,10,no_rain,1.123756979298077
SAC,10,slight_rain,0.9122834882843861
SAC,10,heavy_rain,0.8675876536650985
SAC,10,town02,0.4382244058476783
SAC,10,town03,0.7616857884729
